order_id,customer_id,product_id,order_date,ship_date,sales,quantity,discount,profit
O1001,C029,P011,2024-02-03,2024-02-06,1016.46,3,0.0,-77.08
O1002,C027,P013,2024-02-09,2024-02-15,1056.64,9,0.0,317.19
O1003,C005,P012,2024-02-20,2024-02-26,1057.99,10,0.0,-178.11
O1004,C001,P001,2024-04-01,2024-04-04,1999.17,9,0.1,402.27
O1005,C008,P006,2024-04-03,2024-04-05,179.87,9,0.1,14.05
O1006,C017,P014,2024-01-02,2024-01-04,306.94,7,0.05,98.86
O1007,C027,P022,2024-01-31,2024-02-05,1041.3,4,0.2,-114.56
O1008,C004,P007,2024-03-25,2024-03-27,646.95,8,0.1,44.63
O1009,C003,P002,2024-04-15,2024-04-19,1598.13,3,0.3,-39.57
O1010,C016,P020,2024-04-18,2024-04-22,1837.12,5,0.2,533.82
O1011,C018,P014,2024-01-23,2024-01-30,393.12,1,0.2,-25.68
O1012,C002,P004,2024-01-19,2024-01-26,1959.56,5,0.1,674.14
O1013,C022,P019,2024-04-01,2024-04-04,356.27,1,0.1,73.33
O1014,C006,P007,2024-04-18,2024-04-21,1709.48,5,0.3,523.59
O1015,C026,P010,2024-02-20,2024-02-24,1319.64,4,0.2,-58.44
O1016,C024,P006,2024-04-11,2024-04-15,98.0,8,0.05,20.82
O1017,C006,P007,2024-04-10,2024-04-17,956.75,6,0.2,312.18
O1018,C005,P002,2024-01-14,2024-01-20,551.32,9,0.0,112.79
O1019,C020,P030,2024-01-03,2024-01-05,1333.84,1,0.3,513.89
O1020,C028,P022,2024-02-25,2024-02-29,120.75,7,0.05,18.49
O1021,C009,P030,2024-03-23,2024-03-25,732.9,2,0.2,-98.47
O1022,C013,P010,2024-04-27,2024-05-03,29.79,6,0.0,0.4
O1023,C005,P020,2024-04-07,2024-04-10,1205.99,7,0.1,69.1
O1024,C014,P028,2024-01-11,2024-01-14,335.36,4,0.1,17.88
O1025,C025,P020,2024-03-06,2024-03-10,186.55,2,0.1,34.53
O1026,C017,P023,2024-03-14,2024-03-19,1944.33,5,0.3,415.11
O1027,C028,P026,2024-02-16,2024-02-20,1491.41,8,0.05,-226.74
O1028,C027,P007,2024-04-16,2024-04-18,501.98,6,0.1,148.25
O1029,C017,P013,2024-03-30,2024-04-01,1982.74,9,0.2,-60.12
O1030,C030,P005,2024-03-26,2024-03-31,1171.48,6,0.05,415.95
