product_id,category,sub_category,product_name
P001,Furniture,Chair,Chair_1
P002,Furniture,Chair,Chair_2
P003,Furniture,Chair,Chair_3
P004,Furniture,Chair,Chair_4
P005,Furniture,Chair,Chair_5
P006,Furniture,Chair,Chair_6
P007,Furniture,Chair,Chair_7
P008,Furniture,Chair,Chair_8
P009,Furniture,Chair,Chair_9
P010,Furniture,Chair,Chair_10
P011,Furniture,Table,Table_1
P012,Furniture,Table,Table_2
P013,Furniture,Table,Table_3
P014,Furniture,Table,Table_4
P015,Furniture,Table,Table_5
P016,Furniture,Table,Table_6
P017,Furniture,Table,Table_7
P018,Furniture,Table,Table_8
P019,Furniture,Table,Table_9
P020,Furniture,Table,Table_10
P021,Furniture,Bookcase,Bookcase_1
P022,Furniture,Bookcase,Bookcase_2
P023,Furniture,Bookcase,Bookcase_3
P024,Furniture,Bookcase,Bookcase_4
P025,Furniture,Bookcase,Bookcase_5
P026,Furniture,Bookcase,Bookcase_6
P027,Furniture,Bookcase,Bookcase_7
P028,Furniture,Bookcase,Bookcase_8
P029,Furniture,Bookcase,Bookcase_9
P030,Furniture,Bookcase,Bookcase_10
